dtxsid,chem_num,cas,name,mw,log_kow,water_sol_mg_l,half_air_hr,half_sed_hr,vp_pa,kp,fabs,backGM,backGSD
DTXSID0024896,24225,2008-39-1,"2,4-D, Dimethylamine salt",266.13,2.75594,692.2440495,41.9,13000,7.00E-05,0.005784965,0.99970513,0,0
DTXSID0025072,113084,96-26-4,Dihydroxyacetone,90.08,-0.793654,281996.3408,49.5,1870,7.086764973,0.000176652,0.887378755,0,0
DTXSID0025234,18935,17372-87-1,Eosin,691.86,4.64102,562.6399241,0.323,38900,6.75E-08,0.000236292,0.999261511,0,0
DTXSID0025363,104053,79-14-1,Glycolic acid,76.05,-1.21672,233250.6735,82.5,1870,2.744494727,0.000172616,0.748633448,0,0
DTXSID0025571,76201,608-25-3,"2-Methyl-1,3-benzenediol",124.14,0.960784,212093.19,1.28,3240,0.036826444,0.001899305,0.997523651,0,0
DTXSID0025600,98726,7220-79-3,Methylene Blue trihydrate,284.4,3.73514,12291.79644,1.25,13000,6.41E-06,0.01310943,0.999683135,0,0
DTXSID0025816,12933,144-62-7,Oxalic acid,90.04,-0.855093,171233.57,247,1870,0.044359692,0.000168222,0.872476593,0,0
DTXSID0025949,12590,143-18-0,Potassium oleate,320.56,7.52139,0.124607122,1.31,3240,0.000104616,0.01373984,0.730467274,0,0
DTXSID0026044,4539,111-02-4,trans-Squalene,410.73,6.07542,0.004896846,0.0873,8100,0.001474199,0.008386575,0.986720661,0,0
DTXSID0026339,73983,59-02-9,alpha-Vitamin E,430.72,9.40893,0.003317367,1.11,38900,3.44E-05,0.007701599,0.033942675,0,0
DTXSID0026549,109078,90-80-2,Gluconolactone,178.14,-2.50124,420577.8516,7.92,1870,9.52E-08,4.35E-05,0.134044111,0,0
DTXSID0026838,4349,110-27-0,Isopropyl tetradecanoic acid,270.46,6.9009,5.518357656,13.3,3240,0.01218924,0.019168527,0.918605793,0,0
DTXSID0026882,4601,111-65-9,Octane,114.23,5.05281,1.054618194,29.6,1870,1519.808585,0.103374186,0.998495664,0,0
DTXSID0026967,6772,120-55-8,Diethylene glycol dibenzoate,314.34,2.71799,3.903442686,13.5,3240,0.000163595,0.002568541,0.999702399,0,0
DTXSID0027066,11067,137-16-6,Sodium [dodecanoyl(methyl)amino]acetate,293.39,3.74958,495.8261661,7.71,3240,5.91E-05,0.012118395,0.999681219,0,0
DTXSID0027195,66669,544-76-3,Hexadecane,226.45,7.96136,0.000932994,10.3,1870,0.160858796,0.027155284,0.496090797,0,0
DTXSID0027222,73579,586-62-9,Terpinolene,136.24,4.44102,9.184878456,0.147,3240,144.4414773,0.072151475,0.99944024,0,0
DTXSID0027301,94217,694-83-7,"1,2-Cyclohexanediamine",114.19,-0.363826,415471.1798,2.51,3240,25.23739514,0.000191977,0.954808169,0,0
DTXSID0027309,102880,763-69-9,Ethyl 3-ethoxypropionate,146.19,0.65499,30089.41056,11.2,3240,133.6570292,0.000677108,0.995261436,0,0
DTXSID0027422,108921,89399-28-0,2-Methoxy-1-[(1-methoxypropan-2-yl)oxy]propane,162.23,0.435,117461.4959,5.69,3240,141.2364071,0.000332251,0.992324895,0,0
DTXSID0027438,20153,1809-19-4,Dibutyl phosphite,194.21,1.42862,8162.316143,4.88,1870,8.685220435,0.001480067,0.998988603,0,0
DTXSID0027482,31810,2487-90-3,Trimethoxysilane,122.2,-0.834658,108682.4804,103,3240,6982.506864,0.000106177,0.877611743,0,0
DTXSID0027519,39893,3088-31-1,"Ethanol, 2-[2-(dodecyloxy)ethoxy]-, hydrogen sulfate, sodium salt",376.49,4.13268,24161.84813,5.64,8100,0.000290019,0.007119293,0.999595104,0,0
DTXSID0027565,55113,4253-34-3,Methylsilanetriyl triacetate,220.26,1.09246,110486.6009,930,8100,14.93437416,0.000462844,0.998104183,0,0
DTXSID0027640,93895,6915-15-7,Malic acid,134.09,-1.59611,780256.301,30.9,503,6.38E-06,6.88E-05,0.554334184,0,0
DTXSID0027642,96171,7023-61-2,"C.I. Pigment Red 48, calcium salt (1:1)",458.89,3.89941,11.88451678,23,38900,4.75E-09,0.00219848,0.999656602,0,0
DTXSID0027800,21305,18760-44-6,"Thiophene, 3-(decyloxy)tetrahydro-, 1,1-dioxide",276.44,3.52722,529.6009876,5.75,3240,0.002094815,0.01244583,0.999703769,0,0
DTXSID0028038,68718,55406-53-6,3-Iodo-2-propynyl-N-butylcarbamate,281.09,2.09124,10123.84988,10,3240,0.133458379,0.001303188,0.999580808,0,0
DTXSID0029559,103979,78491-02-8,Diazolidinyl urea,278.22,-1.81091,39514.75194,3.48,3240,2.28E-08,2.36E-05,0.431367444,0,0
DTXSID0029761,62311,51580-86-0,Sodium dichloro-s-triazinetrione dihydrate,219.95,0.441043,154795.5312,85.6,3240,0.112971794,0.000132879,0.992426705,0,0
DTXSID0032314,61816,51200-87-4,"4,4-Dimethyloxazolidine",101.15,0.758625,654588.179,2.52,3240,730.0027468,0.001866989,0.99621033,0,0
DTXSID0032316,108477,88-04-0,"4-Chloro-3,5-dimethylphenol",156.61,3.09243,624.5591139,3.85,8100,1.86829998,0.038913975,0.999716985,0,0
DTXSID0032522,61172,50723-80-3,Bentazone-sodium,262.26,1.95524,594.1133136,7.42,8100,0.000125749,0.001360874,0.999520517,0,0
DTXSID0032572,28791,23031-36-9,Prallethrin,300.4,4.45611,5.5775268,0.244,8100,0.0007851,0.014494577,0.999429443,0,0
DTXSID0034196,87571,66423-05-0,"(+)-(R)-2-(4-chloro-2-methylphenoxy) propanoic acid, potassium salt",252.74,3.02437,382.0822224,22,8100,0.000172645,0.010199255,0.999716184,0,0
DTXSID0034227,6622,119515-38-7,Icaridin,229.32,2.34294,4266.131688,4.58,3240,0.015056231,0.005085596,0.999652298,0,0
DTXSID0034229,2504,104-61-0,gamma-Nonanolactone,156.23,2.5449,1865.276839,26.5,1870,7.418631066,0.02245974,0.999685221,0,0
DTXSID0034302,71879,57213-69-1,Triclopyr triethylamine salt,355.67,2.51582,537.5205143,8.67,38900,0.000414657,0.000872461,0.999681453,0,0
DTXSID0034649,31725,38641-94-0,Glyphosate-isopropylamine,169.07,-3.07547,23959.58598,3.25,3240,4.80E-06,4.65E-05,0.039625527,0,0
DTXSID0034699,24751,2039-46-5,MCPA dimethylamine salt,245.71,2.7343,705.0820447,21.2,8100,0.000229413,0.007583432,0.999703613,0,0
DTXSID0034803,27123,219714-96-2,Penoxsulam,483.37,1.86078,62.934774,4.26,38900,1.06E-08,3.15E-05,0.999465903,0,0
DTXSID0034855,104158,79241-46-6,Fluazifop-P-butyl,383.37,4.48152,1.509312355,8.53,13000,4.55E-05,0.008042522,0.999410389,0,0
DTXSID0035748,61849,51229-78-8,Chloroallyl methenamine chloride,215.71,0.540284,359886.2498,0.49,13000,0.450308371,0.000168988,0.993913406,0,0
DTXSID0036479,53957,41556-26-7,"Bis(1,2,2,6,6-pentamethyl-4-piperidinyl) sebacate",508.79,6.0802,0.195729478,1.6,38900,5.91E-05,0.00538997,0.986578394,0,0
DTXSID0038833,11334,13822-56-5,3-(Trimethoxysilyl)propan-1-amine,179.29,0.108755,236383.1076,6.97,3240,28.92322593,0.000142452,0.984144973,0,0
DTXSID0038881,80123,633-96-5,C.I. Acid Orange 7,350.33,3.58907,14042.76785,14.5,8100,1.27E-08,0.005782807,0.999698855,0,0
DTXSID0039229,104051,79-10-7,Acrylic acid,72.06,0.358322,743688.024,22.6,1870,195.0733214,0.001379929,0.990904319,0,0
DTXSID0040622,87859,67-03-8,Thiamine hydrochloride,286.78,1.13611,84.41025164,14.1,8100,1.11E-08,0.000165005,0.998261027,0,0
DTXSID0040701,103343,77-93-0,Triethyl citrate,276.29,0.512714,60364.11549,35,3240,0.049243691,6.60E-05,0.993533439,0,0
DTXSID0041270,73345,58430-94-7,"3,5,5-Trimethylhexyl acetate",186.3,4.07252,18.8949186,30.9,8100,46.92001539,0.037612204,0.999614355,0,0
DTXSID0041694,55699,43154-85-4,"Butanedioic acid, sulfo-, 1-[1-methyl-2-[(1-oxo-9-octadecenyl)amino]ethyl] ester, disodium salt",563.66,3.74241,2410.429987,1.2,3240,1.27E-08,0.000321883,0.999682179,0,0
DTXSID0042034,10508,13475-82-6,"2,2,4,6,6-Pentamethylheptane",170.34,4.65384,0.024788047,37,8100,1496.890466,0.046793127,0.999246996,0,0
DTXSID0042323,74410,593-29-3,Potassium stearate,322.58,8.07925,0.242728547,12,3240,5.34E-05,0.013572634,0.428731201,0,0
DTXSID0044814,36230,28219-61-6,"2-Ethyl-4-(2',2',3-trimethylcyclopent-3'-enyl)but-2-enol",208.35,4.3267,142.7772546,0.393,8100,0.402098995,0.030758137,0.999510865,0,0
DTXSID0044866,22956,19766-89-3,Sodium 2-ethylhexanoate,166.2,2.34553,2209.1304,40.3,1870,7.451575028,0.014221803,0.999652833,0,0
DTXSID0046513,4538,111-01-3,Squalane,422.83,6.89031,0.002482025,6.35,8100,4.03E-05,0.007973957,0.920405322,0,0
DTXSID0047032,57531,469-61-4,(-)-alpha-Cedrene,204.36,4.92454,0.333501215,2.76,8100,2.481769625,0.032882172,0.998815306,0,0
DTXSID0047165,37146,28940-11-6,"7-Methyl-2H-1,5-benzodioxepin-3(4H)-one",178.19,1.56921,1211.80426,4.49,8100,0.194097402,0.002637694,0.999198071,0,0
DTXSID0047749,3993,108-87-2,Methylcyclohexane,98.19,3.6989,17.81048772,24.7,3240,4453.674435,0.127452709,0.999687635,0,0
DTXSID0049028,2478,104-29-0,Chlorphenesin,202.64,1.3624,4291.287016,9.21,3240,0.000340683,0.001109363,0.998863857,0,0
DTXSID0049319,70130,562-49-2,"Pentane,3,3-dimethyl-",100.21,3.79662,4.780598218,86.5,3240,11271.19484,0.124655862,0.999674462,0,0
DTXSID0050394,85244,6410-41-9,C.I. Pigment Red 5,627.12,5.83282,0.052980289,3.71,38900,4.93E-09,0.002819279,0.992254131,0,0
DTXSID0051994,41080,3100-36-5,8-Cyclohexadecen-1-one,236.4,5.99918,52.9427256,0.965,8100,0.001686675,0.024931423,0.988794996,0,0
DTXSID0052099,55891,4353-28-0,Tetraethylene glycol diethyl ether,250.34,0.00068262,4471.598114,3.75,8100,1.066647114,4.85E-05,0.979824516,0,0
DTXSID0065278,7357,12225-08-0,C.I. Pigment Violet 32,576.59,4.69361,8.681830948,1.2,38900,1.93E-08,0.001502622,0.99919914,0,0
DTXSID0070992,89677,68016-05-7,"2-Naphthalenecarboxamide, 4-[[5-(aminocarbonyl)-2-methoxyphenyl]azo]-3-hydroxy-N-phenyl-",440.46,4.32333,10.65754634,7.57,13000,1.27E-07,0.004537602,0.999512676,0,0
DTXSID0087313,106265,83-08-9,Quinophthalone,273.29,3.974,7.031806358,8.86,8100,2.29E-07,0.016089247,0.99964052,0,0
DTXSID1020015,5500,114-83-0,1-Acetyl-2-phenylhydrazine,150.18,1.403,6159.362376,5.32,3240,0.008842301,0.003054663,0.99894258,0,0
DTXSID1020140,64524,532-32-1,Sodium benzoate,144.11,1.9124,24324.18279,144,3240,0.209669457,0.009583803,0.999497224,0,0
DTXSID1020190,107821,860-22-0,C.I. Acid Blue 74,466.35,0.130094,59065.0929,11.1,13000,5.04E-08,1.20E-05,0.984881931,0,0
DTXSID1020221,113831,98-54-4,4-tert-Butylphenol,150.22,3.32619,801.1818458,6.32,8100,5.160469753,0.048587387,0.999714049,0,0
DTXSID1020354,57096,461-58-5,Cyanoguanidine,84.08,-1.16547,17587.51808,6.11,3240,3.59E-06,0.000153537,0.770166287,0,0
DTXSID1020358,102617,7585-39-9,beta-Cyclodextrin,1137.02,-1.69604,4282.949676,1.22,503,2.74E-07,3.34E-06,0.497041453,0,0
DTXSID1020431,3366,106-46-7,"1,4-Dichlorobenzene",147,3.46675,130.241853,802,8100,233.6914849,0.053737479,0.99970772,0,0
DTXSID1020514,17006,1643-20-5,"N,N-Dimethyldodecylamine-N-oxide",229.41,2.67339,0.903772166,9.42,3240,1.698527249,0.008817394,0.999698749,0,0
DTXSID1020778,74078,5989-27-5,D-Limonene,136.24,4.46107,6.953662352,0.334,3240,182.346366,0.072210725,0.999425811,0,0
DTXSID1020807,14016,149-30-4,2-Mercaptobenzothiazole,167.24,2.80978,77.31455028,6.32,3240,0.004859255,0.026112772,0.999708459,0,0
DTXSID1020930,65884,54-11-5,Nicotine,162.24,1.17766,731778.6528,2.82,8100,1.74492344,0.001529169,0.998396408,0,0
DTXSID1020980,3916,108-03-2,1-Nitropropane,89.09,0.900778,19108.29047,583,3240,1326.205809,0.003142227,0.997195063,0,0
DTXSID1021164,4402,110-85-0,Piperazine,86.14,-1.15552,469928.156,1.52,3240,96.97883981,0.000149062,0.774193162,0,0
DTXSID1021166,61494,51-03-6,Piperonyl butoxide,338.45,4.39648,12.44186199,2.4,8100,1.09E-05,0.010847591,0.999469998,0,0
DTXSID1021241,79716,79-81-2,Retinol palmitate,524.88,10.2206,0.008688811,0.3,8100,2.67E-06,0.005227409,0.005391734,0,0
DTXSID1021324,81403,811-97-2,"1,1,1,2-Tetrafluoroethane",102.03,0.827267,125.4489459,52400,8100,400347.1388,0.002125664,0.99672582,0,0
DTXSID1021328,4249,109-99-9,Tetrahydrofuran,72.11,0.600408,213348.2515,15.9,3240,24267.34143,0.002265066,0.994663779,0,0
DTXSID1021453,69085,5567-15-7,C.I. Pigment Yellow 83,818.5,6.91102,11.3933563,3.36,38900,4.86E-08,0.001439634,0.91685144,0,0
DTXSID1021455,22288,1934-21-0,FD&C Yellow 5,556.34,0.597494,356.2066991,6.96,8100,6.62E-07,9.28E-06,0.994629731,0,0
DTXSID1021475,85671,645-93-2,Ammelide,128.09,-0.971702,10067.97647,11.2,3240,2.22E-06,9.02E-05,0.83955776,0,0
DTXSID1021740,87969,71-36-3,1-Butanol,74.12,0.838256,99919.6896,30,1870,1050.279125,0.003612308,0.996801084,0,0
DTXSID1021821,89682,96-29-7,2-Butanone oxime,87.12,0.991794,79449.17112,173,3240,4703.280613,0.003958084,0.99767655,0,0
DTXSID1021827,113854,98-82-8,Cumene,120.2,3.8898,62.5763604,39.5,3240,388.4454491,0.088433771,0.99965847,0,0
DTXSID1021873,3382,106-63-8,Isobutyl acrylate,128.17,2.27252,2854.21773,16.7,3240,1025.495826,0.023958467,0.999636396,0,0
DTXSID1021952,5677,115-86-6,Triphenyl phosphate,326.29,4.58719,1.858688145,23.7,8100,0.000859268,0.012315014,0.999317986,0,0
DTXSID1022001,12071,141-78-6,Ethyl acetate,88.11,0.847095,47048.36103,160,3240,11889.26411,0.002852033,0.996860264,0,0
DTXSID1022007,12312,142-96-1,Butyl ether,130.23,2.98758,395.9499897,8.91,1870,1121.303961,0.0538016,0.999715436,0,0
DTXSID1022180,27501,2216-51-5,"(1R,2S,5R)-(-)-Menthol",156.27,3.3084,428.6532981,10.7,3240,9.564761574,0.044301057,0.999714591,0,0
DTXSID1022265,16093,15972-60-8,Alachlor,269.77,3.34263,207.2254441,5.69,13000,0.001852368,0.011533205,0.999713499,0,0
DTXSID1023233,93752,69-79-4,Maltose,342.3,-3.28403,219607.0149,1.66,1870,7.30E-09,1.75E-05,0.024890273,0,0
DTXSID1023495,61499,51-15-0,Pralidoxime chloride,172.62,0.686895,9715.295268,19.8,3240,52.02239658,0.000457595,0.99557783,0,0
DTXSID1023784,68675,554-13-2,Lithium carbonate,73.89,-0.521159,130859.19,100000,3240,1.409004347,0.000309314,0.936430809,0,0
DTXSID1023996,3997,108-91-8,Cyclohexylamine,99.18,0.968819,516419.3502,4.64,3240,989.2561335,0.003027012,0.997564318,0,0
DTXSID1023998,63327,52315-07-8,Cypermethrin,416.31,6.41643,0.148603936,11.9,38900,6.32E-07,0.008200183,0.971619135,0,0
DTXSID1024097,4612,111-76-2,2-Butoxyethanol,118.18,0.66142,550792.0716,13.8,1870,148.4384826,0.001122865,0.995327068,0,0
DTXSID1024251,46267,354-33-6,Pentafluoroethane,120.02,1.25671,57.09759468,134000,8100,1450574.268,0.0038437,0.99862088,0,0
DTXSID1024338,29548,23564-05-8,Thiophanate-methyl,342.39,1.36605,35.20077351,3.35,13000,7.44E-06,0.000104782,0.998871239,0,0
DTXSID1024598,6239,118-58-1,Benzyl salicylate,228.25,3.10736,74.505365,14.9,3240,8.92E-05,0.015330657,0.999717061,0,0
DTXSID1024671,10199,1338-23-4,2-Butanone peroxide,174.2,1.6577,35303.0236,27.9,3240,0.010400986,0.003400344,0.999299076,0,0
DTXSID1024702,41094,3101-60-8,tert-Butyl phenyl glycidyl ether,206.29,2.67534,92.87072655,7.59,8100,0.443852901,0.012476091,0.999698919,0,0
DTXSID1024835,2499,104-55-2,3-Phenylprop-2-enal,132.16,1.85043,2109.881536,5.13,3240,4.95745975,0.010491576,0.99945916,0,0
DTXSID1025279,96735,7085-85-0,Ethyl cyanoacrylate,125.13,0.650244,140525.9952,55.5,3240,26.60648276,0.000970116,0.995212371,0,0
DTXSID1025302,67125,5466-77-3,Octinoxate,290.41,5.20078,15.17479373,4.17,3240,0.000720392,0.016467021,0.997988634,0,0
DTXSID1025308,113380,97-63-2,Ethyl methacrylate,114.15,1.8506,9919.04142,8.44,3240,3202.190492,0.014475052,0.999459272,0,0
DTXSID1025512,71296,569-64-2,Malachite green,364.92,1.20289,3.065999453,0.168,13000,6.87E-05,5.62E-05,0.998472527,0,0
DTXSID1025564,4239,109-87-5,Dimethoxymethane,76.1,-0.0484129,547142.258,52.4,3240,22717.46864,0.000596764,0.977493169,0,0
DTXSID1025801,7696,124-30-1,1-Octadecanamine,269.52,8.1099,8.726868936,4.74,3240,0.009047991,0.019303726,0.411542842,0,0
DTXSID1025805,34309,26530-20-1,Octhilinone,213.34,2.77337,144.5233429,6.26,3240,0.027063912,0.012845343,0.999706276,0,0
DTXSID1025809,4993,112-80-1,Oleic acid,282.47,7.52139,0.109800891,1.3,3240,0.000104616,0.017606505,0.730467274,0,0
DTXSID1026031,14439,151-21-3,Sodium dodecyl sulfate,288.38,1.75103,42290.927,17.3,3240,0.002757214,0.000564513,0.999385478,0,0
DTXSID1026033,8124,126-92-1,Sodium ethasulfate,232.27,1.72163,107226.7487,26,3240,0.002244616,0.001407644,0.999360239,0,0
DTXSID1026241,6237,118-56-9,"3,3,5-Trimethylcyclohexyl salicylate",262.35,3.99227,149.9359109,5.99,8100,0.000301525,0.017808847,0.99963612,0,0
DTXSID1026293,105635,81-48-1,D&C Violet 2,329.36,3.92129,13.22008223,1.28,8100,8.83E-07,0.009560383,0.999652182,0,0
DTXSID1026401,102011,75-28-5,Isobutane,58.12,2.59488,75.8779848,110,3240,274644.1234,0.152159651,0.999691057,0,0
DTXSID1026615,113398,97-90-5,Ethylene glycol dimethacrylate,198.22,1.5357,33831.00028,4.2,3240,5.814522734,0.00172883,0.999154115,0,0
DTXSID1026796,3974,108-65-6,1-Methoxy-2-propyl acetate,132.16,0.595186,148777.7984,21.6,3240,527.1500639,0.000765347,0.994602604,0,0
DTXSID1026904,4923,112-07-2,2-Butoxyethyl acetate,160.21,1.00938,9712.667166,12.1,1870,76.73183505,0.001109357,0.997758549,0,0
DTXSID1026908,4940,112-25-4,2-(Hexyloxy)ethanol,146.23,1.74227,18398.07368,9.75,1870,44.20583818,0.006606717,0.999378136,0,0
DTXSID1027184,66116,541-02-6,Decamethylcyclopentasiloxane,370.78,7.99093,0.019936284,166,8100,21.96273059,0.010330245,0.479085165,0,0
DTXSID1027263,79162,628-63-7,Pentyl acetate,130.19,2.28176,1874.775057,34,1870,416.0871802,0.023479922,0.999638639,0,0
DTXSID1027265,79302,629-11-8,"1,6-Hexanediol",118.18,1.08386,851683.0788,18.4,1870,0.170056708,0.002748148,0.998071384,0,0
DTXSID1027267,79326,629-59-4,Tetradecane,198.4,7.15027,0.00208822,13.4,1870,1.520501861,0.035188212,0.864198116,0,0
DTXSID1027500,31797,2807-30-9,2-Propoxyethanol,104.15,0.322671,1025750.437,12,3240,431.1832744,0.000722905,0.99015505,0,0
DTXSID1027633,87778,6683-19-8,Irganox 1010,1177.67,7.25345,319.969406,2.41,38900,2.77E-08,1.62E-05,0.833877995,0,0
DTXSID1027635,91572,6846-50-0,"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",286.42,4.77744,130.8274906,22.4,8100,0.633998627,0.016609666,0.999082695,0,0
DTXSID1027639,92730,6881-94-3,2-(2-Propoxyethoxy)ethanol,148.2,0.31364,996111.48,7.2,3240,12.18339997,0.000333778,0.989955472,0,0
DTXSID1027764,13008,14433-76-2,"N,N-Dimethyldecanamide",199.34,2.88204,224.8196388,8.6,3240,1.12035204,0.017845001,0.999711999,0,0
DTXSID1027928,35104,27247-96-7,2-Ethylhexyl nitrate,175.23,2.55502,316.8210969,39.8,3240,331.8540942,0.016895726,0.999686466,0,0
DTXSID1027970,42130,31906-04-4,4-(4-Hydroxy-4-methylpentyl)cyclohex-3-ene-1-carbaldehyde,210.32,3.12064,3969.558648,0.486,8100,0.005149724,0.019473036,0.999717099,0,0
DTXSID1027974,42436,32210-23-4,4-tert-Butylcyclohexyl acetate,198.31,4.50623,27.94207731,17.7,8100,3.08915977,0.034391293,0.999390755,0,0
DTXSID1028499,91422,68439-57-6,Sodium C14-16 alpha-olefin sulfonate,314.46,4.45128,659.8565748,13.2,3240,0.00038622,0.013071266,0.99943294,0,0
DTXSID1029621,59142,497-19-8,Sodium carbonate,105.99,-0.521159,187708.29,100000,3240,1.409004347,0.000179758,0.936430809,0,0
DTXSID1031090,20871,18472-87-2,D&C Red 28,829.64,8.07109,0.093385938,124,38900,5.54E-09,0.002038875,0.433338191,0,0
DTXSID1031096,72851,12741-00-3,D-alpha-Tocopheryl acetate,472.76,9.1493,0.003350535,1.34,38900,3.87E-05,0.006416555,0.060045028,0,0
DTXSID1032309,22229,1929-73-3,"2,4-D-Butotyl",321.2,3.86022,39.8907916,10.4,8100,0.000900393,0.009937871,0.999663952,0,0
DTXSID1032511,103696,7779-27-3,"1,3,5-Triethylhexahydro-s-triazine",171.29,0.901335,136430.9434,0.55,13000,8.676594477,0.000727642,0.997198326,0,0
DTXSID1032640,112997,95737-68-1,Pyriproxyfen,321.38,4.19948,0.394921385,4.92,13000,0.000138619,0.011628533,0.999570288,0,0
DTXSID1032646,53914,4151-50-2,Sulfluramid,527.2,3.95535,1340.896296,29,38900,0.000585488,0.000886684,0.999644816,0,0
